model,model_family,train_fraction,seed,split_id,mae,rmse,r2,n_train,n_val,n_test,target_unit,predictions_path,notes
descriptor_rf,descriptor_baseline,0.025,42,seed_42_80_10_10,0.5186397253037507,0.6696283862079215,0.2196585060359244,473,1893,1893,eV/unit cell,results/predictions/descriptor_rf_0_025_seed42.csv,RandomForest on simple structure/composition features.
descriptor_rf,descriptor_baseline,0.25,42,seed_42_80_10_10,0.4587189646064448,0.6082092293501198,0.3562414621932164,4732,1893,1893,eV/unit cell,results/predictions/descriptor_rf_0_25_seed42.csv,RandomForest on simple structure/composition features.
descriptor_rf,descriptor_baseline,1.0,42,seed_42_80_10_10,0.4234755414685683,0.57589748592503,0.4228252082617968,15142,1893,1893,eV/unit cell,results/predictions/descriptor_rf_1_0_seed42.csv,RandomForest on simple structure/composition features.
descriptor_rf_expanded,descriptor_baseline,0.025,42,seed_42_80_10_10,0.4201546046839233,0.5450867480584746,0.4829313143092668,473,1893,1893,eV/unit cell,results/predictions/descriptor_rf_expanded_0_025_seed42.csv,RF descriptor baseline with feature_set=expanded; n_features=51. Test metrics are reported in required result columns.
descriptor_rf_expanded,descriptor_baseline,0.25,42,seed_42_80_10_10,0.3236344426835711,0.4354120675799375,0.6700729585467089,4732,1893,1893,eV/unit cell,results/predictions/descriptor_rf_expanded_0_25_seed42.csv,RF descriptor baseline with feature_set=expanded; n_features=51. Test metrics are reported in required result columns.
descriptor_rf_expanded,descriptor_baseline,1.0,42,seed_42_80_10_10,0.2759547103363268,0.3873452815569724,0.7388959972690747,15142,1893,1893,eV/unit cell,results/predictions/descriptor_rf_expanded_1_0_seed42.csv,RF descriptor baseline with feature_set=expanded; n_features=51. Test metrics are reported in required result columns.
descriptor_rf_starter,descriptor_baseline,0.025,42,seed_42_80_10_10,0.5168866349709456,0.6684549307718548,0.2223910474127197,473,1893,1893,eV/unit cell,results/predictions/descriptor_rf_starter_0_025_seed42.csv,RF descriptor baseline with feature_set=starter; n_features=6. Test metrics are reported in required result columns.
descriptor_rf_starter,descriptor_baseline,0.25,42,seed_42_80_10_10,0.4586165169924283,0.6079469060978223,0.3567966540824387,4732,1893,1893,eV/unit cell,results/predictions/descriptor_rf_starter_0_25_seed42.csv,RF descriptor baseline with feature_set=starter; n_features=6. Test metrics are reported in required result columns.
descriptor_rf_starter,descriptor_baseline,1.0,42,seed_42_80_10_10,0.4207384046487057,0.5732522642246537,0.4281152085227508,15142,1893,1893,eV/unit cell,results/predictions/descriptor_rf_starter_1_0_seed42.csv,RF descriptor baseline with feature_set=starter; n_features=6. Test metrics are reported in required result columns.
descriptor_xgb_expanded,descriptor_baseline,0.025,42,seed_42_80_10_10,0.3984031530410225,0.5260892538806695,0.5183452459103088,473,1893,1893,eV/unit cell,results/predictions/descriptor_xgb_expanded_0_025_seed42.csv,XGB descriptor baseline with feature_set=expanded; n_features=51. Test metrics are reported in required result columns.
descriptor_xgb_expanded,descriptor_baseline,0.25,42,seed_42_80_10_10,0.2944003626577727,0.4040853910609699,0.7158397743768734,4732,1893,1893,eV/unit cell,results/predictions/descriptor_xgb_expanded_0_25_seed42.csv,XGB descriptor baseline with feature_set=expanded; n_features=51. Test metrics are reported in required result columns.
descriptor_xgb_expanded,descriptor_baseline,1.0,42,seed_42_80_10_10,0.2633158958670021,0.3654149484396719,0.7676248897865678,15142,1893,1893,eV/unit cell,results/predictions/descriptor_xgb_expanded_1_0_seed42.csv,XGB descriptor baseline with feature_set=expanded; n_features=51. Test metrics are reported in required result columns.
descriptor_xgb_starter,descriptor_baseline,0.025,42,seed_42_80_10_10,0.5474107660351609,0.7087755437936036,0.1257524228767645,473,1893,1893,eV/unit cell,results/predictions/descriptor_xgb_starter_0_025_seed42.csv,XGB descriptor baseline with feature_set=starter; n_features=6. Test metrics are reported in required result columns.
descriptor_xgb_starter,descriptor_baseline,0.25,42,seed_42_80_10_10,0.4755948610124421,0.6204462683368821,0.3300762981677564,4732,1893,1893,eV/unit cell,results/predictions/descriptor_xgb_starter_0_25_seed42.csv,XGB descriptor baseline with feature_set=starter; n_features=6. Test metrics are reported in required result columns.
descriptor_xgb_starter,descriptor_baseline,1.0,42,seed_42_80_10_10,0.4484844827198567,0.5892235337207514,0.39580495635565,15142,1893,1893,eV/unit cell,results/predictions/descriptor_xgb_starter_1_0_seed42.csv,XGB descriptor baseline with feature_set=starter; n_features=6. Test metrics are reported in required result columns.
cgcnn_optimized,cgcnn,0.025,42,seed_42_80_10_10,0.3423144666706514,0.4503539767280444,0.6470404039792305,473,1893,1893,eV/unit cell,results/predictions/cgcnn_optimized_0_025_seed42.csv,"CGCNN with RBF, BatchNorm and Residual connections."
